angle_90,r,area_ellipse,area_contour,scale,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,norm_scale,label
0.345,39.974,2381.389,2319.5,0.026,0.366,0.049275387,0.018269447,0.037590254,0.040178571,a
0.374,40,2394.022,2330.5,0.026,0.312,0.049498741,0.018673834,0.038136119,0.040178571,a
0.516,40.341,2400.023,2333.5,0.026,0.394,0.052428119,0.018865928,0.038284991,0.040178571,a
0.548,40.169,2462.008,2336.5,0.026,0.44,0.050950544,0.020850092,0.038433863,0.040178571,a
0.468,40.084,2427.72,2343,0.026,0.477,0.050220348,0.01975252,0.03875642,0.040178571,a
0.415,39.733,2433.576,2350.5,0.026,0.427,0.047205065,0.019939973,0.039128601,0.040178571,a
0.373,40.288,2409.729,2316.5,0.026,0.384,0.05197282,0.019176621,0.037441382,0.040178571,a
0.451,40.659,2435.208,2365,0.026,0.458,0.055159913,0.019992214,0.03984815,0.040178571,a
0.419,40.711,2482.061,2397.5,0.027,0.48,0.055606622,0.021491996,0.041460933,0.044642857,a
0.457,41.063,2486.644,2385.5,0.027,0.445,0.058630495,0.0216387,0.040865444,0.044642857,a
0.497,42.382,2537.714,2402,0.027,0.453,0.069961428,0.02327347,0.041684242,0.044642857,a
0.438,42.371,2506.846,2410,0.027,0.484,0.069866932,0.022285374,0.042081235,0.044642857,a
0.456,42.86,2541.966,2407,0.027,0.47,0.074067711,0.023409578,0.041932362,0.044642857,a
0.475,43.185,2525.691,2417,0.027,0.463,0.076859639,0.022888609,0.042428603,0.044642857,a
0.988,75.776,6537.327,4825,0.054,0.93,0.356834211,0.151302621,0.16192343,0.165178571,a
0.97,76.951,6583.636,4812.5,0.053,0.926,0.366928106,0.15278499,0.161303129,0.160714286,a
0.964,77.681,6591.528,4802.5,0.053,0.931,0.373199206,0.153037616,0.160806888,0.160714286,a
0.947,76.473,6721.023,4831.5,0.054,0.929,0.362821823,0.157182801,0.162245987,0.165178571,a
0.928,79.567,6817.639,4856.5,0.054,0.924,0.389400981,0.160275516,0.163486589,0.165178571,a
0.914,80.679,6933.696,4897.5,0.054,0.935,0.398953671,0.163990545,0.165521177,0.165178571,a
0.893,80.95,7005.11,4917,0.055,0.934,0.40128171,0.166276535,0.166488847,0.169642857,a
0.879,82.113,6946.627,4879.5,0.054,0.936,0.411272518,0.164404471,0.164627943,0.165178571,a
0.669,47.117,2676.166,2428.5,0.027,0.624,0.110637676,0.027705372,0.04299928,0.044642857,a
0.67,46.79,2700.421,2417.5,0.027,0.598,0.107828567,0.028481784,0.042453415,0.044642857,a
0.707,48.043,2861.122,2452.5,0.027,0.611,0.118592525,0.033625885,0.044190259,0.044642857,a
0.725,47.838,2793.505,2435,0.027,0.616,0.116831462,0.031461439,0.043321837,0.044642857,a
0.675,47.378,2711.536,2439.5,0.027,0.567,0.11287981,0.028837579,0.043545146,0.044642857,a
0.618,46.404,2793.749,2513.5,0.028,0.587,0.104512615,0.031469249,0.047217329,0.049107143,a
0.632,46.968,2780.406,2507,0.028,0.661,0.109357685,0.031042135,0.046894772,0.049107143,a
0.637,44.523,2714.299,2508,0.028,0.559,0.088353793,0.028926024,0.046944396,0.049107143,a
0.579,44.685,2718.094,2509.5,0.028,0.64,0.089745462,0.029047503,0.047018832,0.049107143,a
0.556,45.246,2828.66,2547,0.028,0.626,0.09456476,0.032586764,0.048879736,0.049107143,a
0.553,43.61,2672.28,2480.5,0.028,0.473,0.080510622,0.02758098,0.045579734,0.049107143,a
0.502,43.266,2650.622,2482,0.028,0.581,0.077555473,0.026887699,0.04565417,0.049107143,a
0.547,43.293,2608.464,2480,0.028,0.489,0.077787418,0.025538205,0.045554921,0.049107143,a
0.481,42.271,2660.652,2495,0.028,0.535,0.069007878,0.027208763,0.046299283,0.049107143,a
0.478,43.855,2592.169,2471.5,0.027,0.473,0.082615307,0.025016596,0.045133117,0.044642857,a
0.922,76.522,6806.052,4794,0.053,0.935,0.36324276,0.159904612,0.160385083,0.160714286,a
0.96,77.547,7082.529,4891,0.054,0.935,0.372048073,0.168754747,0.16519862,0.165178571,a
0.984,78.625,7018.936,4842.5,0.054,0.941,0.381308684,0.16671911,0.162791852,0.165178571,a
0.975,78.414,7449.753,4909,0.055,0.94,0.379496078,0.180509728,0.166091854,0.169642857,a
0.944,83.069,7296.612,4939,0.055,0.932,0.419485083,0.175607626,0.167580577,0.169642857,a
0.943,81.196,6901.118,5038,0.056,0.943,0.403394985,0.162947711,0.172493363,0.174107143,a
0.931,83.34,7041.199,5057.5,0.056,0.937,0.421813121,0.167431758,0.173461033,0.174107143,a
0.919,84.291,7204.666,5023,0.056,0.943,0.429982733,0.172664399,0.171749001,0.174107143,a
0.91,82.904,7106.124,4981,0.055,0.943,0.418067642,0.169510032,0.169664789,0.169642857,a
0.907,82.178,6780.371,4958.5,0.055,0.934,0.411830904,0.159082553,0.168548247,0.169642857,a
0.884,80.631,7072.076,5121,0.057,0.923,0.398541325,0.168420142,0.176612163,0.178571429,a
0.444,46.873,2779.089,2547,0.028,0.746,0.108541583,0.030999977,0.048879736,0.049107143,a
0.862,78.4,6593.469,5108,0.057,0.915,0.379375811,0.153099748,0.17596705,0.178571429,a
0.837,77.312,6583.614,5064,0.056,0.915,0.370029294,0.152784286,0.173783589,0.174107143,a
0.838,76.39,6386.726,5060.5,0.056,0.906,0.362108808,0.146481825,0.173609905,0.174107143,a
0.842,73.998,6246.561,4929.5,0.055,0.904,0.341560215,0.141995089,0.167109148,0.169642857,a
0.825,73.807,6234.255,4898,0.054,0.9,0.339919421,0.14160117,0.165545989,0.165178571,a
