r,angle,eccentricity,cx,cy,norm_r,angle_90,act_r,scale,norm_act_r,label
41.591,16,0.889,60,104,,16,121.114,2.912,,1
41.163,16,0.893,60,105,,16,121.681,2.956,,1
39.904,16,0.898,60,104,,16,120.873,3.029,,1
39.499,15,0.895,60,101,,15,117.946,2.986,,1
41.15,16,0.891,61,104,,16,120.756,2.935,,1
40.647,15,0.894,60,104,,15,120.708,2.97,,1
39.908,13,0.895,59,103,,13,119.529,2.995,,1
40.161,12,0.896,60,104,,12,120.706,3.006,,1
41.701,10,0.893,59,108,,10,123.572,2.963,,1
43.508,9,0.89,60,111,,9,127.095,2.921,,1
40.569,6,0.9,57,110,,6,124.179,3.061,,1
40.338,4,0.902,56,111,,4,124.575,3.088,,1
42.429,173,0.906,50,123,,6,133.522,3.147,,1
36.148,1,0.915,56,104,,1,119.38,3.303,,1
37.829,1,0.909,56,107,,1,120.971,3.198,,1
40.072,1,0.908,56,114,,1,127.602,3.184,,1
39.315,0,0.916,53,119,,0,130.409,3.317,,1
39.831,177,0.915,51,121,,2,131.753,3.308,,1
41.66,176,0.91,52,123,,3,133.822,3.212,,1
42.144,176,0.909,50,124,,3,134.817,3.199,,1
42.46,176,0.907,51,124,,3,134.689,3.172,,1
41.969,175,0.909,51,124,,4,134.391,3.202,,1
42.333,175,0.907,50,124,,4,134.219,3.171,,1
42.605,175,0.907,51,124,,4,134.772,3.163,,1
42.971,175,0.906,51,124,,4,135.156,3.145,,1
42.938,176,0.907,52,125,,3,136.091,3.17,,1
42.316,176,0.908,52,124,,3,134.755,3.185,,1
41.277,179,0.909,53,120,,0,131.786,3.193,,1
37.769,0,0.918,54,114,,0,126.957,3.361,,1
39.843,2,0.907,57,112,,2,126.429,3.173,,1
37.61,2,0.911,57,107,,2,121.608,3.233,,1
35.667,3,0.917,57,104,,3,119.24,3.343,,1
33.617,3,0.922,56,100,,3,115.789,3.444,,1
36.999,3,0.91,58,103,,3,119.197,3.222,,1
33.929,2,0.921,56,101,,2,116.295,3.428,,1
37.679,3,0.91,57,106,,3,121.409,3.222,,1
40.76,3,0.905,57,113,,3,127.496,3.128,,1
39.859,179,0.912,53,117,,0,129.503,3.249,,1
40.875,178,0.912,52,121,,1,132.871,3.251,,1
42.695,177,0.906,52,124,,2,134.783,3.157,,1
42.711,175,0.906,51,124,,4,134.743,3.155,,1
42.378,175,0.91,51,125,,4,135.991,3.209,,1
42.977,176,0.907,52,125,,3,136.13,3.167,,1
42.736,177,0.906,53,123,,2,134.302,3.143,,1
40.561,0,0.909,55,117,,0,129.816,3.201,,1
39.207,1,0.911,56,113,,1,126.506,3.227,,1
35.457,2,0.92,56,106,,2,120.307,3.393,,1
35.711,4,0.916,57,103,,4,118.536,3.319,,1
34.043,4,0.919,58,98,,4,114.814,3.373,,1
38.636,4,0.908,58,108,,4,122.986,3.183,,1
34.239,0,0.898,44,93,,0,103.671,3.028,,1
33.809,175,0.908,40,99,,4,107.548,3.181,,1
33.808,177,0.909,40,100,,2,108.096,3.197,,1
33.723,176,0.907,41,98,,3,106.547,3.159,,1
32.496,0,0.905,43,92,,0,102.015,3.139,,1
29.237,1,0.913,44,84,,1,95.658,3.272,,1
32.35,4,0.897,47,85,,4,97.44,3.012,,1
28.157,2,0.915,45,81,,2,93.219,3.311,,1
30.839,2,0.91,45,88,,2,99.394,3.223,,1
33.597,179,0.905,42,96,,0,105.158,3.13,,1
34.419,176,0.902,41,97,,3,106.058,3.081,,1
33.872,179,0.901,41,95,,0,104.313,3.08,,1
31.959,1,0.903,44,88,,1,99.014,3.098,,1
32.376,4,0.9,46,87,,4,98.839,3.053,,1
31.018,3,0.908,45,87,,3,98.567,3.178,,1
33.128,1,0.906,43,94,,1,104.538,3.156,,1
31.077,9,0.904,43,86,,9,96.913,3.119,,1
30.539,8,0.906,41,86,,8,96.246,3.152,,1
31.638,8,0.901,41,87,,8,97.264,3.074,,1
32.226,8,0.9,42,88,,8,98.474,3.056,,1
30.322,9,0.909,42,86,,9,96.764,3.191,,1
28.338,11,0.918,44,83,,11,95.139,3.357,,1
29.28,12,0.913,45,84,,12,95.807,3.272,,1
30.084,10,0.909,43,85,,10,96.214,3.198,,1
31.208,10,0.909,42,90,,10,99.74,3.196,,1
31.506,9,0.909,42,91,,9,101.015,3.206,,1
30.784,10,0.91,44,88,,10,98.759,3.208,,1
28.808,11,0.917,45,84,,11,96.17,3.338,,1
29.602,9,0.915,43,87,,9,97.834,3.305,,1
31.239,8,0.91,42,90,,8,100.437,3.215,,1
31.111,8,0.91,42,90,,8,99.925,3.212,,1
30.473,10,0.91,45,86,,10,97.834,3.21,,1
29.043,10,0.916,45,84,,10,96.274,3.315,,1
32.117,10,0.903,45,88,,10,99.607,3.101,,1
31.431,8,0.911,43,91,,8,101.703,3.236,,1
36.526,18,0.89,53,92,,18,106.699,2.921,,1
37.6,16,0.891,52,97,,16,110.595,2.941,,1
34.704,18,0.898,55,89,,18,105.278,3.034,,1
34.528,18,0.901,55,90,,18,106.057,3.072,,1
36.774,17,0.893,53,94,,17,108.995,2.964,,1
36.245,15,0.899,52,97,,15,110.139,3.039,,1
34.381,17,0.901,54,90,,17,105.731,3.075,,1
33.26,18,0.905,55,88,,18,104.307,3.136,,1
35.025,18,0.897,55,89,,18,105.544,3.013,,1
35.014,16,0.902,53,94,,16,108.325,3.094,,1
34.798,16,0.902,53,93,,16,107.641,3.093,,1
33.163,18,0.907,56,88,,18,104.877,3.162,,1
33.777,18,0.903,56,88,,18,105.016,3.109,,1
35.276,16,0.9,55,93,,16,108.154,3.066,,1
35.312,15,0.901,53,94,,15,108.763,3.08,,1
35.985,16,0.899,54,95,,16,109.683,3.048,,1
38.082,179,0.9,44,107,,0,116.502,3.059,,1
36.632,169,0.911,46,109,,10,118.67,3.24,,1
37.36,169,0.908,47,109,,10,119.043,3.186,,1
36.857,169,0.908,45,108,,10,117.1,3.177,,1
37.492,169,0.907,46,109,,10,118.683,3.166,,1
37.267,170,0.906,45,107,,9,117.149,3.144,,1
36.186,170,0.912,46,108,,9,117.687,3.252,,1
37.411,170,0.908,46,109,,9,118.809,3.176,,1
37.006,170,0.907,45,108,,9,117.308,3.17,,1
36.823,170,0.909,45,108,,9,117.721,3.197,,1
37.234,170,0.91,45,110,,9,119.451,3.208,,1
37.876,168,0.906,45,110,,11,119.049,3.143,,1
38.766,168,0.904,44,112,,11,120.727,3.114,,1
38.382,167,0.905,45,111,,12,120.334,3.135,,1
38.589,168,0.905,45,112,,11,121.013,3.136,,1
38.596,167,0.903,45,111,,12,119.904,3.107,,1
37.616,170,0.905,46,108,,9,118.192,3.142,,1
36.588,170,0.907,45,106,,9,115.922,3.168,,1
36.512,171,0.912,46,108,,8,118.551,3.247,,1
36.02,170,0.914,46,108,,9,118.306,3.284,,1
38.507,168,0.906,45,112,,11,121.254,3.149,,1
38.73,168,0.904,45,111,,11,120.865,3.121,,1
38.348,169,0.905,46,110,,10,120.178,3.134,,1
39.097,171,0.9,47,109,,8,119.547,3.058,,1
37.202,170,0.91,47,109,,9,119.565,3.214,,1
