r,angle,eccentricity,cx,cy,norm_r,angle_90,act_r,scale,norm_act_r,label
281.393,173,0.916,42,109,0.587810389,6,117.833,0.419,0.788146827,1
281.261,173,0.921,42,110,0.586376572,6,118.364,0.421,0.794545805,1
272.515,173,0.907,41,105,0.491375377,6,112.98,0.415,0.729664265,1
271.42,175,0.904,42,104,0.479481219,4,113.092,0.417,0.731013955,1
271.636,177,0.898,42,104,0.481827464,2,113.182,0.417,0.732098527,1
276.22,2,0.901,45,106,0.531619995,2,115.667,0.419,0.762044781,1
281.435,7,0.899,48,107,0.588266603,7,117.851,0.419,0.788363742,1
278.255,13,0.894,51,105,0.553724664,13,117.099,0.421,0.779301535,1
283.851,14,0.904,54,107,0.614509787,14,120.636,0.425,0.821925237,1
284.164,19,0.898,56,106,0.61790967,19,120.178,0.423,0.816405968,1
287.106,20,0.91,57,106,0.649866394,20,120.824,0.421,0.824190788,1
288.945,20,0.915,60,105,0.669842063,20,120.996,0.419,0.826263527,1
284.426,19,0.918,59,103,0.620755578,19,119.103,0.419,0.803451351,1
291.501,19,0.921,58,107,0.697605961,19,122.673,0.421,0.846472729,1
288.08,18,0.916,56,109,0.660446221,18,123.034,0.427,0.85082307,1
290.897,15,0.92,53,113,0.691045165,15,125.449,0.431,0.879925767,1
287.472,14,0.908,50,113,0.653841976,14,123.972,0.431,0.862126726,1
286.967,13,0.912,49,113,0.648356542,13,123.754,0.431,0.859499651,1
289.639,7,0.914,46,116,0.677380461,7,124.907,0.431,0.87339423,1
290.387,8,0.919,46,117,0.68550542,8,125.834,0.433,0.884565327,1
287.254,7,0.914,46,115,0.651474007,7,124.477,0.433,0.868212383,1
288.003,7,0.919,45,116,0.659609828,7,124.801,0.433,0.872116845,1
287.649,9,0.919,46,115,0.655764593,9,124.648,0.433,0.870273071,1
285.35,12,0.916,48,113,0.630792292,12,123.652,0.433,0.858270468,1
285.474,14,0.912,50,112,0.632139211,14,123.111,0.431,0.851750982,1
285.685,16,0.92,51,110,0.634431144,16,122.011,0.427,0.838495095,1
289.046,18,0.92,54,108,0.67093915,18,121.64,0.421,0.834024246,1
292.822,20,0.918,56,106,0.711954987,20,120.789,0.412,0.82376901,1
285.13,18,0.925,57,100,0.628402598,18,115.834,0.406,0.764057265,1
291.203,19,0.923,57,103,0.694369012,19,118.301,0.406,0.793786604,1
298.222,18,0.921,55,109,0.77061111,18,123.017,0.412,0.850618206,1
295.104,15,0.918,51,111,0.73674263,15,122.96,0.417,0.84993131,1
294.36,12,0.916,49,112,0.72866112,12,122.65,0.417,0.84619556,1
295.111,12,0.915,48,113,0.736818666,12,123.578,0.419,0.857378709,1
290.127,8,0.912,45,112,0.682681237,8,120.886,0.417,0.824937938,1
294.391,9,0.915,45,114,0.728997849,9,123.276,0.419,0.853739365,1
297.121,9,0.926,45,115,0.758651778,9,124.419,0.419,0.867513437,1
290.97,13,0.918,48,111,0.691838109,13,121.844,0.419,0.836482611,1
292.213,15,0.921,50,108,0.70533988,15,119.929,0.41,0.813405317,1
291.789,19,0.916,53,103,0.700734288,19,116.716,0.4,0.774686076,1
296.537,22,0.911,56,100,0.752308227,22,115.526,0.39,0.760345617,1
296.879,27,0.916,60,88,0.756023115,27,107.619,0.362,0.665059893,1
300.48,25,0.925,60,90,0.795138059,25,108.924,0.362,0.680786195,1
306.411,25,0.92,58,95,0.859562034,25,111.712,0.365,0.714383842,1
305.212,22,0.918,54,97,0.846538203,22,111.911,0.367,0.716781953,1
305.518,19,0.917,52,100,0.849862049,19,113.296,0.371,0.733472319,1
303.677,17,0.914,50,99,0.829864656,17,111.348,0.367,0.709997349,1
301.294,17,0.912,48,97,0.803979927,17,109.219,0.362,0.684341182,1
304.463,16,0.92,46,97,0.838402381,16,108.465,0.356,0.675254875,1
300.782,16,0.92,45,93,0.798418457,16,104.02,0.346,0.621689041,1
297.117,16,0.919,43,89,0.758608329,16,99.039,0.333,0.561663975,1
298.345,16,0.917,41,84,0.771947166,16,94.476,0.317,0.506676147,1
296.387,15,0.915,39,81,0.75067889,15,90.151,0.304,0.45455641,1
296.341,15,0.91,37,76,0.750179227,15,85.198,0.287,0.394868767,1
297.675,15,0.908,36,73,0.764669462,15,81.861,0.275,0.354655226,1
294.399,14,0.906,34,69,0.729084747,14,77.893,0.265,0.306837627,1
291.334,14,0.898,32,65,0.695791966,14,73.44,0.252,0.253175387,1
287.85,13,0.898,31,62,0.657947905,13,70.163,0.244,0.213684896,1
294.557,16,0.896,31,61,0.730800982,16,69.344,0.235,0.203815285,1
291.186,14,0.887,31,59,0.694184354,14,67.337,0.231,0.179629317,1
293.888,13,0.888,30,59,0.72353414,13,67.349,0.229,0.179773927,1
289.177,13,0.884,30,59,0.672362104,13,66.872,0.231,0.174025692,1
295.05,13,0.894,31,62,0.736156069,13,70.074,0.237,0.212612374,1
296.118,14,0.894,32,64,0.747756946,14,72.179,0.244,0.237979321,1
295.9,15,0.896,33,66,0.745388977,15,73.975,0.25,0.259622569,1
298.123,16,0.902,35,69,0.769535748,16,77.636,0.26,0.30374057,1
300.37,17,0.905,36,71,0.793943212,17,80.725,0.269,0.340965511,1
300.656,19,0.907,39,73,0.797049814,19,83.307,0.277,0.372080692,1
302.111,20,0.911,39,74,0.812854381,20,84.969,0.281,0.392109132,1
305.388,21,0.911,41,75,0.848449958,21,86.527,0.283,0.410884288,1
303.064,22,0.909,42,74,0.8232061,22,85.868,0.283,0.402942807,1
304.491,19,0.913,40,76,0.838706524,19,86.273,0.283,0.407823383,1
304.729,20,0.913,41,75,0.841291738,20,86.34,0.283,0.408630787,1
304.491,20,0.915,40,75,0.838706524,20,85.638,0.281,0.400171121,1
306.853,21,0.914,41,75,0.864363147,21,86.302,0.281,0.408172857,1
303.96,21,0.91,41,74,0.832938672,21,84.856,0.279,0.390747391,1
303.325,21,0.911,41,74,0.826041146,21,84.678,0.279,0.388602347,1
301.315,19,0.916,40,74,0.804208034,19,84.745,0.281,0.389409752,1
297.751,19,0.916,40,73,0.765494993,19,83.743,0.281,0.377334844,1
294.359,24,0.903,42,70,0.728650257,24,82.175,0.279,0.35843918,1
286.096,22,0.918,43,66,0.638895527,22,79.272,0.277,0.323455689,1
285.909,22,0.914,43,66,0.636864287,22,79.816,0.279,0.330011328,1
286.03,22,0.924,43,66,0.638178619,22,79.254,0.277,0.323238775,1
283.423,22,0.916,43,65,0.609860746,22,78.532,0.277,0.314538093,1
292.702,23,0.91,43,70,0.710651517,23,82.932,0.283,0.36756164,1
296.607,19,0.918,40,75,0.753068584,19,85.892,0.29,0.403232026,1
293.979,16,0.915,37,76,0.724522604,16,85.744,0.292,0.401448507,1
295.833,14,0.918,36,78,0.744661207,14,86.901,0.294,0.41539129,1
294.391,13,0.909,36,77,0.728997849,13,85.864,0.292,0.402894604,1
294.717,13,0.916,36,79,0.732538941,13,87.187,0.296,0.41883782,1
290.135,16,0.914,38,76,0.682768135,16,85.832,0.296,0.402508978,1
289.327,21,0.905,41,73,0.673991441,21,84.387,0.292,0.385095563,1
294.486,25,0.903,45,72,0.730029763,25,85.278,0.29,0.395832831,1
291.211,24,0.917,45,68,0.69445591,24,82.51,0.283,0.3624762,1
283.316,22,0.924,45,66,0.608698486,22,80.863,0.285,0.342628522,1
292.158,24,0.911,45,70,0.704742456,24,83.995,0.287,0.380371647,1
296.276,22,0.913,44,75,0.749473181,22,87.648,0.296,0.424393242,1
296.19,19,0.913,41,77,0.748539028,19,88.24,0.298,0.431527319,1
297.635,16,0.918,39,80,0.764234972,16,89.911,0.302,0.451664216,1
296.397,15,0.915,39,81,0.750787513,15,90.154,0.304,0.454592562,1
301.078,18,0.919,41,80,0.801633682,18,90.951,0.302,0.464197055,1
298.106,21,0.915,43,78,0.769351089,21,90.053,0.302,0.453375431,1
288.719,21,0.922,44,78,0.667387196,21,90.225,0.312,0.455448169,1
