angle_90,r,area_ellipse,area_contour,scale,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,label
0.214,137.147,16896.146,12988.500,0.144,0.866,,,,0
0.231,132.217,15498.721,12139.500,0.135,0.868,,,,0
0.230,130.983,15390.452,11913.000,0.132,0.860,,,,0
0.220,129.668,14975.119,11588.500,0.129,0.846,,,,0
0.216,127.328,14969.513,11379.000,0.126,0.845,,,,0
0.224,125.351,14837.432,11292.000,0.125,0.859,,,,0
0.232,124.609,14037.284,11018.500,0.122,0.854,,,,0
0.221,123.070,13648.339,10792.500,0.120,0.842,,,,0
0.232,120.573,13514.924,10582.500,0.118,0.850,,,,0
0.248,117.562,12626.855,10035.500,0.112,0.850,,,,0
0.224,117.652,12852.231,9837.500,0.109,0.850,,,,0
0.228,115.318,12334.746,9575.500,0.106,0.854,,,,0
0.248,116.783,12469.448,9745.000,0.108,0.835,,,,0
0.264,113.871,12206.831,9501.500,0.106,0.852,,,,0
0.240,114.014,12148.966,9346.000,0.104,0.844,,,,0
0.224,113.224,11328.301,8226.000,0.091,0.848,,,,0
0.277,110.621,10759.902,8646.500,0.096,0.861,,,,0
0.297,107.640,10858.737,8331.000,0.093,0.876,,,,0
0.321,106.143,11200.107,8145.500,0.091,0.887,,,,0
0.305,105.452,10387.991,8113.000,0.090,0.885,,,,0
0.243,109.278,10745.333,8408.000,0.093,0.865,,,,0
0.252,109.326,10539.590,8469.000,0.094,0.846,,,,0
0.273,109.374,10825.737,8396.000,0.093,0.860,,,,0
0.274,105.502,9870.504,7142.000,0.079,0.880,,,,0
0.304,106.190,10321.799,7820.000,0.087,0.876,,,,0
0.305,106.249,10617.686,7829.000,0.087,0.871,,,,0
0.325,102.385,10552.986,7157.500,0.080,0.893,,,,0
0.315,103.564,10506.660,7235.000,0.080,0.890,,,,0
0.303,105.401,10728.442,7993.500,0.089,0.876,,,,0
0.287,106.911,10929.541,8127.500,0.090,0.859,,,,0
0.229,109.508,10437.935,7244.000,0.080,0.832,,,,0
0.207,111.736,10551.048,7267.000,0.081,0.841,,,,0
0.203,110.634,10677.796,7299.000,0.081,0.830,,,,0
0.198,111.382,10816.702,7353.500,0.082,0.838,,,,0
0.201,112.579,11134.536,7366.500,0.082,0.847,,,,0
0.212,111.971,11065.268,7447.000,0.083,0.829,,,,0
0.222,113.039,10999.052,7431.000,0.083,0.842,,,,0
0.186,113.828,11037.468,7559.500,0.084,0.855,,,,0
0.203,111.335,11078.085,7423.000,0.082,0.838,,,,0
0.195,112.124,10891.806,7525.500,0.084,0.840,,,,0
0.229,111.900,10933.945,7507.500,0.083,0.859,,,,0
0.228,111.358,11038.271,7504.500,0.083,0.863,,,,0
0.294,110.122,11572.934,7613.500,0.085,0.879,,,,0
0.273,110.014,11602.773,8488.000,0.094,0.858,,,,0
0.283,111.029,12145.399,8472.000,0.094,0.863,,,,0
0.282,111.268,11951.507,8561.000,0.095,0.860,,,,0
0.293,110.001,12054.668,8532.000,0.095,0.870,,,,0
0.302,110.531,12549.063,8548.500,0.095,0.880,,,,0
0.283,110.854,12076.131,8581.500,0.095,0.864,,,,0
0.289,109.526,12346.081,8508.500,0.095,0.876,,,,0
0.295,107.253,12627.264,8409.500,0.093,0.889,,,,0
0.284,107.250,12547.675,8450.000,0.094,0.882,,,,0
0.281,106.444,12635.166,8514.000,0.095,0.886,,,,0
0.268,109.794,12951.153,8761.500,0.097,0.878,,,,0
0.283,107.949,13125.542,8111.000,0.090,0.900,,,,0
0.255,111.882,12905.090,8182.500,0.091,0.881,,,,0
0.243,115.924,13461.932,9332.000,0.104,0.867,,,,0
0.245,118.281,13486.244,9544.500,0.106,0.857,,,,0
0.198,118.098,12642.248,8540.500,0.095,0.864,,,,0
0.188,121.549,12616.888,8628.000,0.096,0.856,,,,0
0.198,121.873,12814.088,8711.500,0.097,0.853,,,,0
0.198,124.235,13122.586,8953.000,0.099,0.865,,,,0
0.183,125.913,13356.079,9237.500,0.103,0.860,,,,0
0.182,127.980,14139.327,10718.000,0.119,0.867,,,,0
0.185,131.384,14884.153,10998.500,0.122,0.853,,,,0
0.191,131.922,15154.599,11334.000,0.126,0.856,,,,0
0.197,131.515,15134.625,11570.500,0.129,0.856,,,,0
0.166,132.787,14737.168,10068.500,0.112,0.857,,,,0
0.190,129.389,15068.088,10015.000,0.111,0.864,,,,0
0.204,129.966,15280.856,10135.000,0.113,0.866,,,,0
0.209,128.235,15349.286,10224.000,0.114,0.866,,,,0
0.220,130.396,15264.944,10296.500,0.114,0.866,,,,0
0.217,130.948,15821.545,11989.500,0.133,0.862,,,,0
0.215,131.051,16524.690,12548.500,0.139,0.851,,,,0
0.193,132.967,16799.469,12779.000,0.142,0.845,,,,0
0.199,135.344,16933.631,12992.500,0.144,0.851,,,,0
0.212,137.765,17763.586,13273.500,0.147,0.849,,,,0
0.201,137.298,17493.756,13453.500,0.149,0.850,,,,0
0.183,140.788,17998.529,14127.500,0.157,0.836,,,,0
0.183,139.279,17885.906,14303.000,0.159,0.842,,,,0
0.182,142.387,18348.662,14753.500,0.164,0.846,,,,0
0.184,143.115,19121.334,14984.500,0.166,0.846,,,,0
0.189,142.995,18980.025,15219.500,0.169,0.847,,,,0
0.194,147.643,19677.219,15451.000,0.172,0.861,,,,0
0.199,149.498,19940.601,15879.000,0.176,0.852,,,,0
0.188,154.492,20129.593,16433.500,0.183,0.830,,,,0
0.191,154.178,20494.881,16628.500,0.185,0.843,,,,0
0.226,153.133,20848.377,16848.000,0.187,0.851,,,,0
0.249,152.345,21089.337,16857.000,0.187,0.843,,,,0
0.214,154.110,22248.536,17721.500,0.197,0.840,,,,0
0.220,155.042,23119.511,18457.000,0.205,0.849,,,,0
0.207,153.804,22670.695,19115.500,0.212,0.847,,,,0
0.227,155.841,23231.430,19420.500,0.216,0.845,,,,0
0.232,158.483,24425.034,19934.500,0.221,0.852,,,,0
0.257,158.301,23989.324,19714.500,0.219,0.860,,,,0
0.242,163.794,24046.521,20152.000,0.224,0.844,,,,0
0.259,164.219,25312.352,20452.000,0.227,0.846,,,,0
0.267,165.436,25783.464,20592.500,0.229,0.854,,,,0
0.247,167.346,25444.943,20827.000,0.231,0.847,,,,0
0.230,165.581,25817.348,20677.000,0.230,0.819,,,,0
0.226,166.936,25949.891,21210.000,0.236,0.836,,,,0
0.249,169.103,26551.194,21551.000,0.239,0.842,,,,0
0.207,167.612,27094.429,21870.500,0.243,0.846,,,,0
0.198,173.231,28947.774,22229.000,0.247,0.841,,,,0
0.167,171.565,29491.488,23080.500,0.256,0.835,,,,0
0.140,168.231,29678.564,23797.000,0.264,0.814,,,,0
