angle_90,r,area_ellipse,area_contour,scale,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,label
0.059,125.715,25493.345,21003.5,0.068,0.832,0.322731767,0.205461322,0.215760263,0
0.044,122.74,25764.573,20967.5,0.068,0.827,0.305222704,0.209092509,0.215151105,0
0.038,123.272,25288.112,21365,0.07,0.833,0.308353736,0.202713673,0.221877221,0
0.045,120.131,27146.838,21650,0.07,0.824,0.289867696,0.227598204,0.226699719,0
0.034,121.018,26705.215,21494.5,0.07,0.822,0.295088046,0.221685777,0.224068496,0
0.049,121.664,27385.256,21620.5,0.07,0.804,0.298890014,0.230790132,0.226200548,0
0.053,121.881,27072.95,21644.5,0.07,0.829,0.300167145,0.226608995,0.226606653,0
0.057,124.641,27242.559,21790.5,0.071,0.82,0.316410848,0.228879712,0.229077126,0
0.053,125.049,26286.353,21713.5,0.071,0.821,0.318812091,0.216078074,0.227774206,0
0.053,127.865,27230.139,21900,0.071,0.8,0.335385376,0.228713434,0.230929981,0
0.056,130.426,25888.783,21764.5,0.071,0.832,0.350457884,0.210755427,0.228637179,0
0.067,128.144,26680.926,21043,0.068,0.803,0.337027402,0.221360598,0.216428644,0
0.075,129.59,25413.982,20524,0.067,0.834,0.34553769,0.204398815,0.207646621,0
0.084,130.123,26223.536,20030,0.065,0.816,0.348674608,0.215237083,0.199287624,0
0.12,115.603,34057.047,19383.5,0.063,0.931,0.263218607,0.320111737,0.188348167,0
0.107,122.059,30960.562,19923.5,0.065,0.891,0.301214746,0.278656151,0.197485533,0
0.091,129.179,29311.352,20206.5,0.066,0.825,0.343118791,0.25657661,0.202274189,0
0.094,124.204,30798.614,20385.5,0.066,0.877,0.313838928,0.276487999,0.205303056,0
0.063,133.144,30036.204,21243,0.069,0.771,0.3664544,0.266280892,0.219812853,0
0.068,130.978,31052.473,21525,0.07,0.737,0.353706625,0.279886651,0.224584588,0
0.076,130.355,33656.079,22641,0.074,0.619,0.350040021,0.314743598,0.243468476,0
0.07,129.5,33152.433,23747,0.077,0.629,0.345008004,0.30800081,0.262183153,0
0.074,129.075,33211.156,25620.5,0.083,0.624,0.342506709,0.308786991,0.293884734,0
0.082,129.343,34408.828,26824,0.087,0.57,0.344083996,0.324821364,0.314249213,0
0.108,132.566,36108.398,28370.5,0.092,0.502,0.363052639,0.347575122,0.340417611,0
0.171,132.12,37144.571,28642.5,0.093,0.491,0.360427751,0.361447355,0.345020136,0
0.126,131.534,35895.92,27977.5,0.091,0.474,0.356978907,0.344730477,0.33376764,0
0.118,128.732,34783.134,27201,0.089,0.52,0.340488017,0.329832554,0.320628448,0
0.115,124.407,34199.029,25442.5,0.083,0.553,0.315033664,0.322012585,0.290872788,0
0.139,124.703,32615.091,24688.5,0.08,0.574,0.316775743,0.300806902,0.278114319,0
0.128,124.653,32715.958,24562.5,0.08,0.573,0.316481473,0.302157305,0.275982267,0
0.14,125.047,32278.062,24545.5,0.08,0.603,0.31880032,0.296294775,0.275694609,0
0.125,125.665,32586.231,24722.5,0.08,0.608,0.322437497,0.300420526,0.278689634,0
0.121,126.748,32422.928,25116.5,0.082,0.609,0.328811385,0.298234234,0.285356526,0
0.128,126.495,32202.009,24231.5,0.079,0.595,0.327322379,0.295276581,0.2703814,0
0.093,125.831,32404.478,21733,0.071,0.578,0.323414473,0.297987226,0.228104166,0
0.04,119.398,33323.788,20992.5,0.068,0.478,0.285553698,0.310294903,0.215574131,0
0.091,118.897,32834.191,19644,0.064,0.553,0.282605113,0.303740202,0.1927561,0
0.074,120.054,31834.735,19515.5,0.064,0.584,0.28941452,0.290359535,0.190581746,0
0.107,119.704,31327.967,19285,0.063,0.635,0.287354631,0.283574951,0.186681444,0
0.097,121.595,29573.983,18735.5,0.061,0.716,0.298483921,0.2600927,0.177383329,0
0.112,116.145,29758.302,18537.5,0.06,0.887,0.266408494,0.262560354,0.174032962,0
0.122,119.851,29085.726,18558.5,0.06,0.893,0.288219784,0.25355594,0.174388304,0
0.13,116.099,30875.395,18256.5,0.059,0.929,0.266137765,0.277515939,0.169278148,0
0.127,121.098,26787.935,17918.5,0.058,0.895,0.295558878,0.222793229,0.163558834,0
0.132,122.581,25954.271,17729,0.058,0.897,0.304286925,0.211632177,0.160352296,0
0.14,118.204,26909.09,17288,0.056,0.919,0.278526531,0.224415246,0.152890115,0
0.143,120.409,25014.599,16960,0.055,0.892,0.291503837,0.199051895,0.147340012,0
0.146,118.101,26511.227,16512.5,0.054,0.92,0.277920335,0.219088676,0.139767843,0
0.151,120.464,24467.416,16264,0.053,0.895,0.291827534,0.191726236,0.135562963,0
0.157,117.027,24813.594,15457,0.05,0.908,0.271599416,0.19636085,0.121907679,0
0.152,117.093,22639.107,15125.5,0.049,0.877,0.271987853,0.167248926,0.116298352,0
0.156,116.115,22642.101,14716.5,0.048,0.886,0.266231932,0.16728901,0.109377644,0
0.151,115.597,20745.667,14469,0.047,0.868,0.263183295,0.141899646,0.105189685,0
0.163,114.648,21260.393,14219,0.046,0.888,0.257598051,0.148790772,0.100959423,0
0.162,115.738,20500.913,13751,0.045,0.89,0.264013136,0.138622892,0.093040374,0
0.168,113.129,19636.148,13490.5,0.044,0.89,0.248658129,0.127045461,0.088632441,0
0.162,112.403,18339.887,13132.5,0.043,0.866,0.244385329,0.109691184,0.082574706,0
0.152,110.716,17980.932,12799,0.042,0.875,0.23445666,0.104885512,0.076931537,0
0.166,107.515,19005.143,12652.5,0.041,0.881,0.215617496,0.118597598,0.074452604,0
0.161,107.06,17388.66,12211.5,0.04,0.864,0.212939639,0.096956204,0.066990423,0
0.162,108.115,17289.21,12234.5,0.04,0.884,0.219148736,0.095624772,0.067379607,0
0.157,107.221,16833.357,11920,0.039,0.869,0.213887189,0.089521835,0.062057938,0
0.171,107.15,17327.995,11673.5,0.038,0.883,0.213469325,0.096144024,0.0578869,0
0.171,103.986,16182.454,11324,0.037,0.862,0.194847921,0.080807578,0.051972994,0
0.17,103.626,15487.464,10990,0.036,0.902,0.192729177,0.071503087,0.046321365,0
0.189,102.862,15948.815,10665.5,0.035,0.921,0.188232732,0.077679631,0.040830485,0
0.182,100.345,15827.264,10473,0.034,0.921,0.173419182,0.076052312,0.037573184,0
0.186,99.623,15251.919,10511.5,0.034,0.907,0.169169923,0.068349622,0.038224644,0
0.167,102.613,15129.921,10583,0.034,0.885,0.186767268,0.066716319,0.039434499,0
0.171,103.67,15864.751,10442.5,0.034,0.888,0.192988135,0.076554186,0.037057092,0
0.158,104.259,14950.898,10599.5,0.035,0.861,0.196454635,0.064319568,0.039713696,0
0.18,100.477,14867.721,10195.5,0.033,0.891,0.174196054,0.063205998,0.032877593,0
0.187,101.354,14940.272,10243,0.033,0.906,0.17935755,0.064177308,0.033681343,0
0.186,100.575,15712.599,10223,0.033,0.92,0.174772824,0.074517183,0.033342922,0
0.191,99.51,16953.799,10249,0.033,0.927,0.168504873,0.091134307,0.033782869,0
0.182,98.717,15523.759,10301.5,0.034,0.907,0.163837751,0.071989002,0.034671224,0
0.185,99.998,16264.491,10351.5,0.034,0.914,0.171376948,0.081905886,0.035517276,0
0.183,100.744,15392.266,10429,0.034,0.873,0.175767456,0.070228581,0.036828657,0
0.178,101.949,16432.54,10283,0.033,0.851,0.182859362,0.084155717,0.034358185,0
0.106,104.014,15835.023,10377.5,0.034,0.749,0.195012712,0.076156189,0.035957224,0
0.119,107.33,15798.856,10385,0.034,0.784,0.214528697,0.075671987,0.036084131,0
0.129,104.414,15781.023,10426.5,0.034,0.789,0.197366872,0.07543324,0.036786355,0
0.073,100.652,17415.456,10436,0.034,0.629,0.175225999,0.097314948,0.036947105,0
0.143,105.115,16425.487,10484,0.034,0.783,0.201492537,0.084061292,0.037759315,0
0.133,106.814,16149.417,10598,0.034,0.785,0.211491831,0.080365281,0.039688314,0
0.149,105.124,16167.568,10602,0.035,0.783,0.201545506,0.080608285,0.039755999,0
0.156,106.85,16430.157,10616.5,0.035,0.791,0.211703705,0.084123814,0.040001354,0
0.148,106.786,16579.051,10657,0.035,0.778,0.21132704,0.086117199,0.040686656,0
0.132,107.099,15618.296,10737.5,0.035,0.833,0.21316917,0.073254659,0.0420488,0
0.151,105.907,15930.133,10912,0.036,0.869,0.206153774,0.077429517,0.045001523,0
0.176,103.234,16618.78,11154,0.036,0.807,0.190422101,0.086649089,0.049096416,0
0.17,103.654,17361.488,10997,0.036,0.9,0.192893969,0.096592427,0.046439812,0
0.181,104.018,17097.479,11089.5,0.036,0.878,0.195036254,0.093057887,0.048005009,0
0.184,103.778,18811.986,11242.5,0.037,0.904,0.193623758,0.116011621,0.050593929,0
0.184,104.598,18186.688,11225,0.037,0.898,0.198449786,0.107640163,0.05029781,0
0.185,105.081,18350.887,11333,0.037,0.895,0.201292434,0.109838451,0.052125283,0
0.186,104.832,20117.839,11346.5,0.037,0.921,0.199826969,0.133494316,0.052353718,0
0.181,102.151,21336.265,11307,0.037,0.932,0.184048213,0.149806543,0.051685336,0
0.162,99.43,17931.267,11296.5,0.037,0.91,0.168034041,0.104220599,0.051507665,0
0.174,99.029,19129.87,11344.5,0.037,0.919,0.165673996,0.120267437,0.052319875,0
0.169,99.451,19490.658,11485.5,0.037,0.914,0.168157635,0.125097648,0.054705743,0
0.173,100.781,19821.454,11780,0.038,0.906,0.175985216,0.129526329,0.059688991,0
0.161,101.898,19997.738,11921.5,0.039,0.912,0.182559207,0.13188641,0.062083319,0
0.166,103.457,21299.734,12057,0.039,0.923,0.191734545,0.149317468,0.064376121,0
0.165,104.123,21566.936,12291,0.04,0.922,0.195654221,0.152894755,0.068335646,0
0.16,106.338,19661.265,12451.5,0.041,0.885,0.208690381,0.127381726,0.071051474,0
0.159,107.837,20498.416,12625,0.041,0.878,0.217512595,0.138589462,0.073987275,0
0.148,109.859,19818.565,12615,0.041,0.87,0.229412873,0.129487651,0.073818065,0
0.152,110.275,20085.476,12645.5,0.041,0.846,0.231861199,0.133061042,0.074334157,0
0.164,113.035,21509.202,12974,0.042,0.852,0.248104901,0.152121815,0.079892721,0
0.169,113.978,22922.11,13316,0.043,0.874,0.253654833,0.171037757,0.085679718,0
0.165,115.28,25175.799,13555.5,0.044,0.905,0.261317623,0.201210032,0.089732309,0
0.137,116.987,20988.365,13958,0.045,0.812,0.271364,0.145148875,0.09654303,0
0.131,119.306,21692.813,14340,0.047,0.812,0.285012242,0.15457999,0.10300687,0
0.112,121.964,21220.647,14544.5,0.047,0.815,0.300655634,0.148258655,0.106467224,0
0.158,119.732,24149.037,14575,0.047,0.855,0.287519422,0.187463794,0.106983316,0
0.165,120.374,25639.829,14601.5,0.048,0.897,0.291297848,0.207422443,0.107431724,0
0.174,121.191,27739.275,14820.5,0.048,0.915,0.29610622,0.235529721,0.111137433,0
0.165,121.551,24230.243,15052,0.049,0.906,0.298224964,0.188550976,0.115054655,0
0.164,122.93,22578.653,15209,0.05,0.891,0.306340929,0.166439571,0.117711259,0
0.172,122.578,24071.734,15388.5,0.05,0.901,0.304269269,0.186428865,0.120748587,0
0.162,123.903,22682.414,16042.5,0.052,0.847,0.312067423,0.167828718,0.131814951,0
0.157,126.2,23317.693,16479,0.054,0.859,0.325586186,0.176333802,0.139200988,0
0.151,127.104,23335.188,16721,0.054,0.828,0.330906587,0.176568024,0.143295881,0
0.15,129.31,24724.053,17242.5,0.056,0.84,0.343889778,0.195162079,0.152120207,0
0.135,129.108,23442.151,17332,0.056,0.85,0.342700928,0.178000039,0.153634641,0
0.153,130.912,24489.558,17888.5,0.058,0.854,0.353318188,0.192022672,0.163051203,0
0.144,133.385,24932.487,18188.5,0.059,0.836,0.367872781,0.197952583,0.168127517,0
0.151,134.256,26228.38,18594.5,0.061,0.852,0.372998964,0.215301934,0.174997462,0
0.141,135.558,26210.127,19083.5,0.062,0.824,0.380661754,0.215057564,0.183271854,0
0.17,133.989,31769.611,18986,0.062,0.904,0.371427563,0.289487658,0.181622052,0
0.151,139.196,27179.549,19362,0.063,0.862,0.402072838,0.228036137,0.187984365,0
0.163,138.56,30878.469,19558.5,0.064,0.903,0.398329724,0.277557094,0.191309351,0
0.18,140.046,32313.296,19803.5,0.064,0.907,0.407075427,0.296766486,0.195455007,0
0.177,141.438,32429.913,20146.5,0.066,0.908,0.415267903,0.298327749,0.201258926,0
0.175,144.507,30807.733,21058.5,0.069,0.899,0.433330194,0.276610084,0.21669092,0
0.173,142.035,33018.239,21394.5,0.07,0.916,0.418781487,0.306204228,0.222376392,0
0.159,138.865,34162.581,21759,0.071,0.922,0.40012477,0.321524621,0.228544113,0
0.161,138.858,35143.537,22181,0.072,0.924,0.400083573,0.334657611,0.235684795,0
0.159,142.657,32667.666,22864.5,0.074,0.904,0.422442205,0.301510774,0.24725033,0
0.157,145.675,31157.976,23100.5,0.075,0.899,0.440204341,0.28129912,0.251243697,0
0.172,146.529,35796.821,23797,0.077,0.914,0.445230472,0.343403745,0.263029206,0
0.169,148.413,33656.55,23803,0.077,0.904,0.456318565,0.314749904,0.263130732,0
0.172,151.632,35284.242,24467,0.08,0.907,0.475263666,0.336541363,0.274366307,0
