angle_90,r,area_ellipse,area_contour,scale,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,label
0.461,106.163,16037.484,12748,0.204,0.87,0.716422039,0.695019834,0.79670905,a
0.461,107.12,16135.66,12728,0.204,0.865,0.731994663,0.701494744,0.794714535,a
0.46,108.328,16675.036,13095.5,0.21,0.863,0.751651642,0.737067706,0.83136375,a
0.457,108.238,16807.834,13218.5,0.211,0.859,0.750187132,0.745826009,0.843630017,a
0.455,111.31,18157.652,14081,0.225,0.848,0.800175741,0.834849297,0.92964348,a
0.455,114.627,17910.214,13855.5,0.222,0.871,0.854151072,0.818530249,0.907155323,a
0.453,113.365,17711.586,13736.5,0.22,0.871,0.833615387,0.805430322,0.895287958,a
0.454,111.484,17136.771,13554.5,0.217,0.873,0.803007127,0.767520084,0.877137871,a
0.453,111.872,17171.338,13305.5,0.213,0.858,0.809320793,0.769799849,0.852306158,a
0.455,110.069,16641.391,13313,0.213,0.876,0.779981775,0.734848749,0.853054101,a
0.456,109.934,16927.503,13312,0.213,0.871,0.77778501,0.753718427,0.852954375,a
0.454,109.555,16727.389,13176,0.211,0.866,0.771617795,0.740520495,0.839391673,a
0.458,108.979,16614.28,13178,0.211,0.867,0.762244931,0.733060723,0.839591124,a
0.454,108.014,16553.918,13034.5,0.209,0.865,0.746542129,0.729079724,0.825280479,a
0.458,107.838,16459.426,13158,0.211,0.867,0.743678198,0.722847781,0.837596609,a
0.457,106.77,16276.812,12917.5,0.207,0.866,0.726299346,0.71080401,0.813612565,a
0.452,105.678,15873.895,12674.5,0.203,0.872,0.708529957,0.684230801,0.789379207,a
0.454,107.35,16100.963,12749,0.204,0.873,0.735737299,0.699206405,0.796808776,a
0.457,106.57,15833.241,12534.5,0.201,0.865,0.723044879,0.681549586,0.775417602,a
0.459,105.944,15727.917,12477.5,0.2,0.875,0.712858398,0.674603251,0.769733234,a
0.456,106.301,15792.982,12579.5,0.201,0.875,0.718667621,0.678894422,0.779905261,a
0.458,106.398,15704.266,12387,0.198,0.864,0.720246038,0.673043418,0.760708053,a
0.455,104.681,15270.329,12326,0.197,0.879,0.692306441,0.644424376,0.754624782,a
