r,act_angle,eccentricity,cx,cy,norm_r,angle_90,label,act_r,scale,norm_act_r
262.246,14,0.914,48,100,0.292498656,14,1,110.923397,0.4229746,0.468126653
262.523,11,0.91,46,102,0.293771628,11,1,111.8928058,0.426220963,0.476609775
265.242,9,0.911,46,104,0.306266975,9,1,113.7189518,0.428736595,0.492590048
267.293,9,0.907,46,104,0.315692483,9,1,113.7189518,0.425446801,0.492590048
265.402,8,0.907,45,103,0.307002266,8,1,112.4010676,0.423512512,0.481057482
268.13,7,0.903,46,104,0.319538973,7,1,113.7189518,0.424118718,0.492590048
260.747,13,0.913,48,100,0.285609901,13,1,110.923397,0.425406225,0.468126653
263.239,13,0.908,48,99,0.297062054,13,1,110.0227249,0.41795754,0.460245035
259.287,13,0.914,49,97,0.278900373,13,1,108.6738239,0.419125617,0.448441046
267.247,10,0.901,47,103,0.315481087,10,1,113.2166066,0.423640327,0.488194115
265.669,13,0.906,47,101,0.308229282,13,1,111.4001795,0.419319452,0.472298891
266.461,9,0.901,45,103,0.311868971,9,1,112.4010676,0.421829339,0.481057482
265.415,10,0.91,45,102,0.307062008,10,1,111.4854251,0.420041916,0.473044859
259.632,11,0.914,46,100,0.280485843,11,1,110.0727032,0.423956613,0.460682386
270.581,6,0.884,48,106,0.330802708,6,1,116.3615057,0.43004315,0.515714559
267.287,6,0.884,47,105,0.31566491,6,1,115.0391238,0.430395507,0.504142634
268.66,6,0.889,47,105,0.321974623,6,1,115.0391238,0.428195949,0.504142634
265.201,15,0.899,51,95,0.306078557,15,1,107.8239306,0.406574374,0.441003783
269.897,10,0.896,49,106,0.32765934,10,1,116.7775663,0.432674562,0.51935543
270.704,2,0.888,45,108,0.331367962,2,1,117,0.432206395,0.521301907
270.55,8,0.895,48,107,0.330660245,8,1,117.2731853,0.433462152,0.523692503
267.798,11,0.903,50,106,0.318013244,11,1,117.2006826,0.437645847,0.523058044
270.947,6,0.897,47,108,0.332484685,6,1,117.7837001,0.434711217,0.528159925
272.139,7,0.898,48,108,0.337962601,7,1,118.1862936,0.434286499,0.531682948
271.203,9,0.895,49,107,0.33366115,9,1,117.686023,0.433940712,0.52730517
269.976,9,0.898,49,107,0.32802239,9,1,117.686023,0.435912907,0.52730517
269.88,7,0.895,48,107,0.327581215,7,1,117.2731853,0.434538259,0.523692503
259.507,15,0.915,52,100,0.279911397,15,1,112.7120224,0.434331338,0.483778591
264.85,179,0.902,43,108,0.304465513,1,1,116.24543,0.43891044,0.514698802
256.349,8,0.916,49,104,0.265398597,8,1,114.9652121,0.448471467,0.503495847
236.784,4,0.944,35,79,0.175486326,4,2,86.40601831,0.364914936,0.253579507
233.508,178,0.934,27,78,0.160431248,2,2,82.54089895,0.353482103,0.219756546
239.667,175,0.946,30,79,0.188735346,5,2,84.50443775,0.352591044,0.236939119
233.259,174,0.937,32,75,0.159286952,6,2,81.54140053,0.34957451,0.211010116
236.212,175,0.935,32,76,0.172857661,5,2,82.46211251,0.349102131,0.2190671
233.822,174,0.932,32,75,0.161874256,6,2,81.54140053,0.348732799,0.211010116
239.425,175,0.937,32,77,0.187623219,5,2,83.38465087,0.348270443,0.227140067
229.931,175,0.938,31,74,0.143992904,5,2,80.23091673,0.348934753,0.19954231
230.19,177,0.929,29,76,0.145183156,3,2,81.34494453,0.353381748,0.209290965
224.945,178,0.948,30,74,0.121079407,2,2,79.84985911,0.354975034,0.196207743
220.444,0,0.949,31,73,0.100394759,0,2,79.30952024,0.359771734,0.191479335
223.3,2,0.943,32,74,0.113519699,2,2,80.62257748,0.361050504,0.202969662
226.821,4,0.948,35,75,0.129700691,4,2,82.76472679,0.364890053,0.221715223
229.763,5,0.945,35,76,0.143220849,5,2,83.67197858,0.364166461,0.229654419
223.374,7,0.951,36,73,0.113859771,7,2,81.39410298,0.364384857,0.209721142
229.929,7,0.947,36,76,0.143983713,7,2,84.09518417,0.365744139,0.233357815
232.488,7,0.941,37,77,0.15574377,7,2,85.42833254,0.367452654,0.245023955
230.34,8,0.942,37,77,0.145872491,8,2,85.42833254,0.370879276,0.245023955
230.694,9,0.944,38,76,0.147499322,9,2,84.97058314,0.368325935,0.241018273
234.979,9,0.937,39,78,0.167191327,9,2,87.20665112,0.371125297,0.2605857
236.671,9,0.942,39,78,0.174967027,9,2,87.20665112,0.368472061,0.2605857
238.378,10,0.941,39,79,0.18281166,10,2,88.10221337,0.369590371,0.268422603
238.523,11,0.941,40,79,0.183478017,11,2,88.54942123,0.371240598,0.272336038
239.983,11,0.943,40,80,0.190187545,11,2,89.4427191,0.372704396,0.280153126
240.693,11,0.939,41,80,0.193450398,11,2,89.89438247,0.373481499,0.28410555
238.476,11,0.943,40,79,0.183262025,11,2,88.54942123,0.371313764,0.272336038
240.2,11,0.937,41,79,0.191184783,11,2,89.0056178,0.370547951,0.276328132
240.556,11,0.94,40,81,0.192820805,11,2,90.33825325,0.375539389,0.287989783
237.074,11,0.94,40,79,0.17681904,11,2,88.54942123,0.373509627,0.272336038
239.567,12,0.94,41,80,0.188275789,12,2,89.89438247,0.375236917,0.28410555
239.827,11,0.934,41,80,0.189470637,11,2,89.89438247,0.374830117,0.28410555
240.062,10,0.942,40,80,0.190550595,10,2,89.4427191,0.372581746,0.280153126
